method,metric,coefficient,value
p0_e06,output_vs_clean_snr,intercept,-0.010057664170005807
p0_e06,output_vs_clean_snr,group_A,-0.2581988497889241
p0_e06,output_vs_clean_snr,z_target_snr_db,1.3884983187345508
p0_e06,output_vs_clean_snr,z_log10_noise_rms_injection_10s,0.024021383233262514
p0_e06,output_vs_clean_snr,z_dominant_freq_hz,0.0064633153714719095
p0_e06,output_vs_clean_snr,z_spectral_slope_1_20,0.2331710726681015
p0_e06,output_vs_clean_snr,z_log10_high_low_bandpower_ratio,-0.3227471450581523
p0_e06,output_vs_clean_snr,z_frame_rms_cv_4s,0.09089880610741377
p0_e06,amp_ratio_clean,intercept,1.0067778355422927
p0_e06,amp_ratio_clean,group_A,0.17016510461272222
p0_e06,amp_ratio_clean,z_target_snr_db,-0.2689288555357595
p0_e06,amp_ratio_clean,z_log10_noise_rms_injection_10s,0.26570741845122864
p0_e06,amp_ratio_clean,z_dominant_freq_hz,0.34316653521672996
p0_e06,amp_ratio_clean,z_spectral_slope_1_20,-0.15858503872044633
p0_e06,amp_ratio_clean,z_log10_high_low_bandpower_ratio,0.04229015625210131
p0_e06,amp_ratio_clean,z_frame_rms_cv_4s,-0.04441953153663647
p0_e06,corr_z,intercept,0.41038321392733246
p0_e06,corr_z,group_A,-0.031159279991334464
p0_e06,corr_z,z_target_snr_db,0.08823337205852406
p0_e06,corr_z,z_log10_noise_rms_injection_10s,-0.008811548198165419
p0_e06,corr_z,z_dominant_freq_hz,-0.019110506891259132
p0_e06,corr_z,z_spectral_slope_1_20,-0.04598030895303499
p0_e06,corr_z,z_log10_high_low_bandpower_ratio,0.014299316207659526
p0_e06,corr_z,z_frame_rms_cv_4s,0.007529841361698086
p0_e06,background_suppression_db,intercept,5.871514085742522
p0_e06,background_suppression_db,group_A,-0.5770046940831299
p0_e06,background_suppression_db,z_target_snr_db,-0.00910842627615193
p0_e06,background_suppression_db,z_log10_noise_rms_injection_10s,-0.07822053949689992
p0_e06,background_suppression_db,z_dominant_freq_hz,0.13484333967938011
p0_e06,background_suppression_db,z_spectral_slope_1_20,0.7966550721186435
p0_e06,background_suppression_db,z_log10_high_low_bandpower_ratio,-0.8906883943972701
p0_e06,background_suppression_db,z_frame_rms_cv_4s,0.5021648183109845
