method,n,snr_gain_mean,snr_gain_std,amp_ratio_mean,amp_ratio_std,delay_s_mean,delay_s_std,psd_1_5_mean,psd_1_5_std,psd_5_10_mean,psd_5_10_std,psd_10_20_mean,psd_10_20_std
exp5_p05_seed43_e028,25,-1.8122550716134596,3.442759793209904,0.5985384059197704,0.21961899772451823,-0.7535714285714288,1.0873139061983181,4.1876441661873,3.897609627152745,-0.6872490585507822,7.599997798162213,5.081759484483881,6.57008307116364
exp5_p05_seed43_e029,25,-1.7853286778722803,3.583275851815502,0.5949757933665655,0.21685642844894817,-0.6169230769230769,1.0510828454165704,4.191290912444397,3.8869334950179137,-0.6963720233231788,7.597643549736943,5.070665244456943,6.563015953692711
exp5_p05_seed43_e030,25,-1.8597313530189115,3.603102935265415,0.600882618119883,0.2153094989728474,-0.666923076923077,1.0471160733203924,4.072919823273998,3.8797275302373784,-0.8323565032442195,7.589985978983228,4.932952198340996,6.55835105185212
exp5_p05_seed44_e001,25,-4.509688436930663,5.993284176764217,0.3609006548795533,0.270567014306612,0.14285714285714282,0.9855848776337877,9.141658219229559,9.901653262155643,3.650632013899409,13.44854276247215,9.207167801644145,12.477087444454064
exp5_p05_seed44_e002,25,-3.705767542352768,3.9242383445135665,0.3919358550493577,0.2945831825946894,0.3107692307692308,0.9815408729172211,8.915979709858105,9.827224588952589,3.9066692383333304,13.2821863351593,9.305538954948197,12.691727987573657
exp5_p05_seed44_e003,25,-3.749115451012336,3.7834673817591518,0.37850447371179835,0.31028567116218336,0.22642857142857145,1.0917718700930752,10.212031091534712,10.468086662637454,5.3129178485129,14.153237498452311,10.81841631258987,13.609055604516632
exp5_p05_seed44_e004,25,-2.631245919649793,4.106868566836842,0.3439684245951019,0.25380615166058496,-0.166,1.1208258859727798,9.935231910861345,7.828505368740854,5.132150414647216,12.080362784920187,11.19230646494599,11.353930739491977
exp5_p05_seed44_e005,25,-2.3912774850055514,6.365563100307391,0.4176971910150613,0.22247343297808986,-0.2758333333333333,0.9888331366930532,7.537278539377101,6.750424840992774,2.9725512681079858,9.882792753930648,8.580466688418579,9.085908629304125
exp5_p05_seed44_e006,25,-2.6935741870428624,6.762303585693128,0.5146225437145151,0.22831257375228933,-0.515,0.8052927595424092,5.01547904009611,6.762239626293422,0.10542966344363673,9.103401837947072,5.850030972948314,8.567123360319236
exp5_p05_seed44_e007,25,-1.6092265284205831,4.580298013812022,0.4688226254545567,0.2119772038439039,-0.26076923076923075,0.990900612407036,5.669705570456128,6.133444105161082,0.6922965690488894,8.998647182023715,6.783868549334382,8.355100910641596
exp5_p05_seed44_e008,25,-1.9603435871905333,5.018208432163281,0.42947072560153793,0.20500451452455973,-0.2,0.8697302853360743,6.139216790560824,6.273736520821072,1.3526587892058837,9.097055064676018,7.605472616830979,8.591466792976792
