event_id,station,file_name
AM.RB53D.event.20260515T113457,RB53D,AM.RB53D.event.20260515T113457.mseed
AM.RB53D.event.20260516T145535,RB53D,AM.RB53D.event.20260516T145535.mseed
AM.RB53D.event.20260525T220239,RB53D,AM.RB53D.event.20260525T220239.mseed
AM.RB53D.event.20260530T213348,RB53D,AM.RB53D.event.20260530T213348.mseed
AM.RB53D.event.20260531T214550,RB53D,AM.RB53D.event.20260531T214550.mseed
AM.RC131.event.20251020T170827,RC131,AM.RC131.event.20251020T170827.mseed
AM.RC131.event.20251114T001758,RC131,AM.RC131.event.20251114T001758.mseed
AM.RC131.event.20260121T091830,RC131,AM.RC131.event.20260121T091830.mseed
AM.RC131.event.20260426T072506,RC131,AM.RC131.event.20260426T072506.mseed
AM.RC131.event.20260504T062243,RC131,AM.RC131.event.20260504T062243.mseed
AM.RC131.event.20260509T045319,RC131,AM.RC131.event.20260509T045319.mseed
AM.RC131.event.20260515T113324,RC131,AM.RC131.event.20260515T113324.mseed
AM.RC131.event.20260516T150032,RC131,AM.RC131.event.20260516T150032.mseed
AM.RC2BF.event.20260414T020642,RC2BF,AM.RC2BF.event.20260414T020642.mseed
AM.RC2BF.event.20260419T144453,RC2BF,AM.RC2BF.event.20260419T144453.mseed
AM.RC2BF.event.20260501T020030,RC2BF,AM.RC2BF.event.20260501T020030.mseed
AM.RC2BF.event.20260501T081805,RC2BF,AM.RC2BF.event.20260501T081805.mseed
AM.RC2BF.event.20260510T182423,RC2BF,AM.RC2BF.event.20260510T182423.mseed
AM.RC2BF.event.20260512T113748,RC2BF,AM.RC2BF.event.20260512T113748.mseed
AM.RC2BF.event.20260513T104510,RC2BF,AM.RC2BF.event.20260513T104510.mseed
AM.RC2BF.event.20260521T190158,RC2BF,AM.RC2BF.event.20260521T190158.mseed
AM.RCBF0.event.20260304T002452,RCBF0,AM.RCBF0.event.20260304T002452.mseed
AM.RCBF0.event.20260309T230546,RCBF0,AM.RCBF0.event.20260309T230546.mseed
AM.RCBF0.event.20260325T071436,RCBF0,AM.RCBF0.event.20260325T071436.mseed
AM.RCBF0.event.20260326T084126,RCBF0,AM.RCBF0.event.20260326T084126.mseed
AM.RCBF0.event.20260426T022420,RCBF0,AM.RCBF0.event.20260426T022420.mseed
AM.RCBF0.event.20260520T141621,RCBF0,AM.RCBF0.event.20260520T141621.mseed
AM.RCBF0.event.20260523T001457,RCBF0,AM.RCBF0.event.20260523T001457.mseed
AM.RCBF0.event.20260525T152710,RCBF0,AM.RCBF0.event.20260525T152710.mseed
AM.RCCE6.event.20260527T041736,RCCE6,AM.RCCE6.event.20260527T041736.mseed
