lambda_pol,lambda_label,seed,run_name,m,rank,selected_epoch,count,frequency
0.0,lambda=0,44,exp5_p0_seed44,5,10,14,9,0.0045
0.0,lambda=0,44,exp5_p0_seed44,5,11,6,9,0.0045
0.0,lambda=0,44,exp5_p0_seed44,5,12,4,5,0.0025
0.0,lambda=0,44,exp5_p0_seed44,5,13,10,1,0.0005
0.0,lambda=0,44,exp5_p0_seed44,10,1,7,836,0.418
0.0,lambda=0,44,exp5_p0_seed44,10,2,13,583,0.2915
0.0,lambda=0,44,exp5_p0_seed44,10,3,9,363,0.1815
0.0,lambda=0,44,exp5_p0_seed44,10,4,3,82,0.041
0.0,lambda=0,44,exp5_p0_seed44,10,5,12,58,0.029
0.0,lambda=0,44,exp5_p0_seed44,10,6,2,39,0.0195
0.0,lambda=0,44,exp5_p0_seed44,10,7,1,26,0.013
0.0,lambda=0,44,exp5_p0_seed44,10,8,5,5,0.0025
0.0,lambda=0,44,exp5_p0_seed44,10,9,4,4,0.002
0.0,lambda=0,44,exp5_p0_seed44,10,10,8,2,0.001
0.0,lambda=0,44,exp5_p0_seed44,10,11,6,1,0.0005
0.0,lambda=0,44,exp5_p0_seed44,10,12,14,1,0.0005
0.0,lambda=0,44,exp5_p0_seed44,15,1,7,916,0.458
0.0,lambda=0,44,exp5_p0_seed44,15,2,13,647,0.3235
0.0,lambda=0,44,exp5_p0_seed44,15,3,9,345,0.1725
0.0,lambda=0,44,exp5_p0_seed44,15,4,3,32,0.016
0.0,lambda=0,44,exp5_p0_seed44,15,5,12,28,0.014
0.0,lambda=0,44,exp5_p0_seed44,15,6,2,17,0.0085
0.0,lambda=0,44,exp5_p0_seed44,15,7,1,10,0.005
0.0,lambda=0,44,exp5_p0_seed44,15,8,5,5,0.0025
0.0,lambda=0,44,exp5_p0_seed44,20,1,7,925,0.4625
0.0,lambda=0,44,exp5_p0_seed44,20,2,13,737,0.3685
0.0,lambda=0,44,exp5_p0_seed44,20,3,9,293,0.1465
0.0,lambda=0,44,exp5_p0_seed44,20,4,3,16,0.008
0.0,lambda=0,44,exp5_p0_seed44,20,5,2,12,0.006
0.0,lambda=0,44,exp5_p0_seed44,20,6,12,9,0.0045
0.0,lambda=0,44,exp5_p0_seed44,20,7,1,4,0.002
0.0,lambda=0,44,exp5_p0_seed44,20,8,5,4,0.002
0.0,lambda=0,44,exp5_p0_seed44,25,1,7,977,0.4885
0.0,lambda=0,44,exp5_p0_seed44,25,2,13,750,0.375
0.0,lambda=0,44,exp5_p0_seed44,25,3,9,259,0.1295
0.0,lambda=0,44,exp5_p0_seed44,25,4,3,8,0.004
0.0,lambda=0,44,exp5_p0_seed44,25,5,12,2,0.001
0.0,lambda=0,44,exp5_p0_seed44,25,6,1,2,0.001
0.0,lambda=0,44,exp5_p0_seed44,25,7,5,1,0.0005
0.0,lambda=0,44,exp5_p0_seed44,25,8,2,1,0.0005

